place1,place2,relation
Prescot,Rainford,borders
Prescot,Eccleston St Helens,borders
Prescot,Stockbridge,borders
Prescot,St. Michaels,borders
Prescot,Yew Tree,borders
Prescot,Croxteth,borders
Prescot,Prescot South,borders
Prescot,Cherryfield,borders
Prescot,Northwood,borders
Prescot,Whiston & Cronton,borders
Lamesley,Chowdene,borders
Lamesley,Washington West,borders
Lamesley,Birtley,borders
Lamesley,Washington South,borders
Lamesley,High Fell,borders
Lamesley,Low Fell,borders
Lamesley,Lobley Hill and Bensham,borders
Lamesley,Whickham South and Sunniside,borders
Todmorden,Littleborough Lakeside,borders
Todmorden,Wardle and West Littleborough,borders
Todmorden,Calder,borders
Astley Village,Smithills,borders
Astley Village,Bromley Cross,borders
Astley Village,Crompton,borders
Finstall,Oldbury,borders
Finstall,Langley,borders
Finstall,Smethwick,borders
Finstall,Old Warley,borders
Finstall,St. Pauls,borders
Finstall,Abbey,borders
Normanton West Yorkshire,Featherstone,borders
Normanton West Yorkshire,Crofton Ryhill and Walton,borders
Normanton West Yorkshire,Altofts and Whitwood,borders
Normanton West Yorkshire,Wakefield South,borders
Normanton West Yorkshire,Wakefield East,borders
Normanton West Yorkshire,Stanley and Outwood East,borders
Wickersley,Valley,borders
Wickersley,Hellaby,borders
Wickersley,Silverwood,borders
Bickenhill,Meriden West Midlands,borders
Bickenhill,Chelmsley Wood,borders
Bickenhill,Silhill,borders
Bickenhill,Kingshurst and Fordbridge,borders
Bickenhill,Shard End,borders
Bickenhill,Knowle,borders
Bickenhill,Elmdon,borders
Bickenhill,Sheldon,borders
Sutton Weaver (civil parish),Bold St Helens,borders
Sutton Weaver (civil parish),Town Centre,borders
Sutton Weaver (civil parish),Thatto Heath,borders
Sutton Weaver (civil parish),Parr,borders
Hetton-le-Hole,Houghton,borders
Hetton-le-Hole,Copt Hill,borders
Picton Cheshire,Central,borders
Picton Cheshire,Princes Park,borders
Picton Cheshire,Old Swan,borders
Picton Cheshire,Greenbank,borders
Picton Cheshire,Wavertree,borders
Picton Cheshire,Kensington and Fairfield,borders
Castle Eden,Southwick,borders
Castle Eden,Boldon Colliery,borders
Castle Eden,St. Anne's,borders
Castle Eden,Redhill,borders
Castle Eden,Pallion,borders
Castle Eden,Fellgate and Hedworth,borders
Castle Eden,Washington North,borders
Castle Eden,Washington East,borders
Kirkburton,Holme Valley,borders
Kirkburton,Mirfield,borders
Kirkburton,Denby Dale,borders
Kirkburton,Almondbury,borders
Kirkburton,Dalton,borders
Kirkburton,Holme Valley North,borders
Kirkburton,Newsome,borders
Kirkburton,Wakefield Rural,borders
Kirkburton,Dewsbury South,borders
Smith's Wood,Castle Bromwich,borders
Smith's Wood,Chelmsley Wood,borders
Smith's Wood,Kingshurst and Fordbridge,borders
Smith's Wood,Shard End,borders
Smith's Wood,Sutton New Hall,borders
Baildon,Windhill and Wrose,borders
Baildon,Guiseley and Rawdon,borders
Baildon,Idle and Thackley,borders
Baildon,Shipley,borders
Baildon,Bingley,borders
Rossington,Finningley,borders
Rossington,Tickhill & Wadsworth,borders
Sprotbrough and Cusworth,Conisbrough Parks,borders
Sprotbrough and Cusworth,Mexborough,borders
Sprotbrough and Cusworth,Ackworth North Elmsall and Upton,borders
Sprotbrough and Cusworth,Town,borders
Sprotbrough and Cusworth,Bentley,borders
Sprotbrough and Cusworth,South Elmsall and South Kirkby,borders
Sprotbrough and Cusworth,Wath,borders
Sprotbrough and Cusworth,Dearne North,borders
Sprotbrough and Cusworth,North East,borders
Sprotbrough and Cusworth,Adwick le Street & Carcroft,borders
Sprotbrough and Cusworth,Dearne South,borders
Sprotbrough and Cusworth,Roman Ridge,borders
Sprotbrough and Cusworth,Hexthorpe & Balby North,borders
Sprotbrough and Cusworth,Norton & Askern,borders
Sprotbrough and Cusworth,Edlington & Warmsworth,borders
Blackrod,Haydock,borders
Blackrod,Town Centre,borders
Blackrod,Moss Bank,borders
Blackrod,Parr,borders
Castle Bromwich,Smith's Wood,borders
Castle Bromwich,Shard End,borders
Castle Bromwich,Sutton New Hall,borders
Castle Bromwich,Tyburn,borders
Castle Bromwich,Hodge Hill,borders
Rainhill,Eccleston St Helens,borders
Rainhill,Bold St Helens,borders
Rainhill,Thatto Heath,borders
Rainhill,Prescot South,borders
Rainhill,Whiston & Cronton,borders
Keighley,Craven,borders
Keighley,Keighley West,borders
Keighley,Keighley East,borders
Conisbrough Parks,Sprotbrough and Cusworth,borders
Conisbrough Parks,Mexborough,borders
Conisbrough Parks,Tickhill & Wadsworth,borders
